=== ALL TCP LISTENERS ===
COMMAND     PID      USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd    635 haewonkim    8u  IPv4 0x38ce85ac43fdc46e      0t0  TCP *:51543 (LISTEN)
rapportd    635 haewonkim    9u  IPv6  0xc6bdaa71757e39d      0t0  TCP *:51543 (LISTEN)
ControlCe   714 haewonkim    8u  IPv4 0x878f49023b6ea0fa      0t0  TCP *:7000 (LISTEN)
ControlCe   714 haewonkim    9u  IPv6  0x8105823f8a75428      0t0  TCP *:7000 (LISTEN)
ControlCe   714 haewonkim   10u  IPv4 0xb6f1d54e54cea0ce      0t0  TCP *:5000 (LISTEN)
ControlCe   714 haewonkim   11u  IPv6  0xee619aae0ab30c8      0t0  TCP *:5000 (LISTEN)
Plex\x20M  1970 haewonkim   59u  IPv6 0xc9091421eb8bf3ba      0t0  TCP *:32400 (LISTEN)
Plex\x20M  1970 haewonkim   60u  IPv4 0xe64a5a2705fa387d      0t0  TCP 127.0.0.1:32401 (LISTEN)
Plex\x20S  2046 haewonkim    6u  IPv4 0xc3656be2c0f14156      0t0  TCP 127.0.0.1:49639 (LISTEN)
Plex\x20T  2081 haewonkim   13u  IPv4 0x6320aa182582df8d      0t0  TCP 127.0.0.1:32600 (LISTEN)
node       8152 haewonkim   32u  IPv4 0x385fef63756bc6bd      0t0  TCP 127.0.0.1:5173 (LISTEN)
IPNExtens  9686 haewonkim   12u  IPv4 0xbac9a18775113a52      0t0  TCP 127.0.0.1:63302 (LISTEN)
IPNExtens  9686 haewonkim   43u  IPv4 0x3d7f5efec2ba3b50      0t0  TCP *:44545 (LISTEN)
IPNExtens  9686 haewonkim   44u  IPv6 0x4b69ae5b7a3e62b9      0t0  TCP *:37858 (LISTEN)
Python    17566 haewonkim    9u  IPv4  0xbd1bfe5a2a854c9      0t0  TCP 127.0.0.1:8001 (LISTEN)
Google    26426 haewonkim   55u  IPv4 0xaa04019ee2a2b592      0t0  TCP 127.0.0.1:9222 (LISTEN)
Python    27867 haewonkim    9u  IPv4 0x23816f34709de070      0t0  TCP 127.0.0.1:8000 (LISTEN)
logioptio 30999 haewonkim   43u  IPv4 0xd5b3bb7ec6e651d8      0t0  TCP *:59869 (LISTEN)
