PID=27867
27867 27164   501 haewonkim Mon09PM  19:16.99 S+   /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python -m uvicorn app.main:app --host 127.0.0.1 --port 8000

COMMAND   PID      USER   FD   TYPE DEVICE SIZE/OFF                NODE NAME
Python  27867 haewonkim  cwd    DIR   1,14     2336            71448800 /Users/haewonkim/home/development/sysgrid/backend
Python  27867 haewonkim  txt    REG   1,14    51584            88125960 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python
Python  27867 haewonkim  txt    REG   1,14    32768            99463535 /Users/haewonkim/home/development/sysgrid/backend/config.local.db-shm
Python  27867 haewonkim  txt    REG   1,14    69920            88125983 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_heapq.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    70624            88126025 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/fcntl.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14  2289328 1152921500312524539 /usr/lib/dyld
Python  27867 haewonkim  txt    REG   1,14   111792            88126027 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/math.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   133504            88126003 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_socket.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    92912            88126032 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/select.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   114352            88126022 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/array.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    72720            88125996 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_posixsubprocess.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    72368            88126023 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/binascii.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    95008            88126007 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_struct.cpython-313-darwin.so
